f1c1,f1c2,f1c3,f1c4,f1c5,f1c6,f1c7,f1c8,f1c9,f2c1,f2c2,f2c3,f2c4,f2c5,f2c6,f2c7,f2c8,f2c9,f3c1,f3c2,f3c3,f3c4,f3c5,f3c6,f3c7,f3c8,f3c9,f4c1,f4c2,f4c3,f4c4,f4c5,f4c6,f4c7,f4c8,f4c9,f6c1,f6c2,f6c3,f6c4,f6c5,f6c6,f6c7,f6c8,f6c9,f7c1,f7c2,f7c3,f7c4,f7c5,f7c6,f7c7,f7c8,f7c9,f8c1,f8c2,f8c3,f8c4,f8c5,f8c6,f8c7,f8c8,f8c9,f9c1,f9c2,f9c3,f9c4,f9c5,f9c6,f9c7,f9c8,f9c9,p1c1,p1c2,p1c3,p1c4,p1c5,p1c6,p1c7,p1c8,p1c9,p2c1,p2c2,p2c3,p2c4,p2c5,p2c6,p2c7,p2c8,p2c9,p3c1,p3c2,p3c3,p3c4,p3c5,p3c6,p3c7,p3c8,p3c9,p4c1,p4c2,p4c3,p4c4,p4c5,p4c6,p4c7,p4c8,p4c9,p5c1,p5c2,p5c3,p5c4,p5c5,p5c6,p5c7,p5c8,p5c9,label
2.260318278,2.349515563,2.28510235,2.371036091,1.72347523,2.354274105,1.93888901,2.088485613,1.822621205,4.532199757,4.478944966,3.481020555,4.368157447,2.722743369,3.014241208,2.24406457,2.079188523,2.191308846,207,159,167,223,301,141,205,113,202,0.446285031,0.375545649,0.383127,0.448040263,0.665671861,0.447283398,0.559805066,0.496058983,0.596556647,0.328995411,0.319921632,0.324980179,0.217289692,0.3940659,0.257532799,0.345874487,0.310471752,0.300533974,1.735384758,1.675405377,1.666615066,1.775326464,1.844825771,1.724746358,1.765592314,1.701440294,1.783930842,1.029065265,1.029191487,1.028567835,1.029520094,1.027511577,1.029763042,1.029360334,1.029795953,1.029490941,0.587114683,0.526453387,0.527897704,0.618167489,0.627555547,0.566172093,0.588558999,0.566172093,0.60516864,19.11615189,18.68274686,19.21016234,18.64718037,20.51412663,19.51034198,20.26155113,21.23499311,20.01059501,5.225141456,4.370853698,4.467201933,5.118055281,8.876536541,4.439018477,5.672073369,4.866249874,5.632213231,4.31336355,3.470600925,3.340095435,4.355631647,6.54187812,4.111276407,5.115458969,4.291402531,5.716082168,11.08466445,9.268741786,9.545536786,11.34593528,16.47368529,11.42891875,14.53423363,12.59323768,15.57580999,2.847430407,2.468363188,2.47555962,2.852187311,3.900092732,2.878860741,3.402329966,3.174722418,3.61689134,0
0.328329757,0.380961095,0.402018802,0.302958361,0.721227864,0.672094158,0.279889756,0.33811893,0.285034836,1.727734055,2.279153777,1.875376009,1.957639022,1.612989822,2.135125338,1.551550228,1.534939194,1.176919513,342,280,315,360,294,291,346,316,416,0.378536132,0.322733496,0.356786944,0.45433375,0.46471883,0.359547012,0.381980123,0.41605379,0.476524378,0.204385325,0.172686738,0.18220438,0.188431012,0.202766246,0.136448104,0.157925059,0.149304464,0.171970285,1.808820257,1.793530504,1.800854645,1.850576403,1.792749234,1.838800259,1.801784265,1.843491267,1.832846958,1.028726491,1.028463952,1.029052019,1.026921873,1.030150394,1.029140118,1.030349008,1.029925037,1.030463157,0.623944755,0.60083569,0.594336266,0.634777129,0.614556698,0.650664612,0.628999863,0.636943604,0.634777129,16.79736104,16.01993446,16.31124194,16.82491056,17.88608122,15.60113651,16.82633921,16.21582728,17.68225375,5.247389448,4.533308971,4.742040557,6.559706134,5.401883589,4.808158439,4.913527525,5.056682464,5.963718879,3.712504198,3.275649083,3.466960101,4.621551342,4.428396603,3.630853103,3.818312646,3.855603182,4.583378327,9.63905187,8.481400192,9.345719129,10.90296126,11.88101389,9.465511663,10.34705565,10.93648888,12.20653326,2.638753903,2.326180722,2.539086509,2.771568569,3.194668063,2.511841378,2.843320629,2.855719073,3.362964182,0
1.319238333,1.649932545,1.764590138,1.53409722,1.306506339,2.5149985,1.442239875,2.010884154,1.819086984,6.019771778,7.880917813,9.086046055,6.255531838,6.04823993,7.696927306,5.48039668,8.280900486,6.69308243,147,137,131,153,149,209,169,135,205,0.253733836,0.22749746,0.219995685,0.251718197,0.28649266,0.222850657,0.296570751,0.208522857,0.253299183,0.242218947,0.249359738,0.247630976,0.238235426,0.248896235,0.2051911,0.255002034,0.18101067,0.20818781,1.694410618,1.660564007,1.647485636,1.690492296,1.710085986,1.679513112,1.722741276,1.647866445,1.707929425,1.027413004,1.026979882,1.027103409,1.028030322,1.02724997,1.02755526,1.027881599,1.027433734,1.02735495,0.547395977,0.517787488,0.504788639,0.523564754,0.555339718,0.543785186,0.570505042,0.524286912,0.556061877,16.90071385,17.05153099,17.00335098,17.16921023,17.61102766,17.54317506,17.31363741,17.68254918,16.96334924,3.274277082,3.005224507,2.900589977,3.32204088,3.564633063,2.89330501,3.474876928,2.841786942,3.159449833,2.930429256,2.680290197,2.523395453,2.92314308,3.099033811,2.739408668,3.173853676,2.533516559,2.859804341,6.963826659,6.32657068,6.079566652,7.067435057,7.586586938,6.673703529,7.941843343,6.393910866,7.143419358,1.797214051,1.589978661,1.508730879,1.750036137,1.837351302,1.716105651,1.886706987,1.613818429,1.69607769,0
0.881155361,0.549112168,-0.009987409,0.481873509,0.616842215,0.255338562,0.236800415,-0.273485042,0.047532341,5.899954179,4.684889759,5.614678245,4.715629054,4.481989313,3.100374165,5.776915416,3.217868525,5.484725446,431,377,281,443,501,357,365,393,323,0.407924939,0.44586795,0.36536939,0.568342186,0.630333142,0.509725673,0.490728201,0.459310402,0.430316672,0.163697232,0.25321297,0.220479651,0.180882669,0.210451156,0.171366706,0.141200711,0.182263075,0.146493541,1.77539396,1.706194138,1.634231019,1.869301046,1.873257754,1.804846911,1.801762562,1.715741326,1.712474421,1.029586709,1.029597202,1.029176624,1.029092539,1.029579154,1.030149002,1.03027207,1.030587229,1.031492755,0.63044418,0.57556015,0.542340869,0.66799641,0.689661159,0.635499288,0.634054971,0.579170942,0.582059575,17.99148235,20.58409225,20.87140758,19.21378261,19.65571374,19.14068319,18.77564851,19.75625269,19.2736921,4.28703369,4.36527307,3.476828246,6.331946579,6.992237054,4.752066877,4.392126436,4.062212603,3.607544539,4.135388337,4.169209444,3.366731129,6.205696026,6.22082393,5.215447767,4.743992516,4.516360131,4.061153952,10.06179892,10.97814075,9.329226476,13.88723271,15.482788,12.92973988,12.18270826,11.89891262,11.18870547,2.795482651,2.96740001,2.478720793,3.613074008,4.194301946,3.455085835,3.332238434,3.230820502,3.10274183,0
2.480298938,2.159353809,2.323685354,1.121080929,2.003411429,1.788438191,2.149193764,1.761871082,1.609206652,18.62308425,10.3098715,8.216350304,8.650170765,6.963433046,5.249330977,8.588486494,3.839330126,4.179160694,292,242,256,370,363,338,301,347,347,0.24241489,0.294462844,0.297114616,0.33878844,0.475227055,0.390509703,0.394417746,0.425959433,0.496105477,0.142510527,0.200097036,0.18138337,0.155782872,0.255823317,0.18599985,0.144764384,0.192426098,0.209965389,1.669886754,1.650154861,1.63597451,1.729028692,1.755964737,1.720878698,1.781343365,1.719662371,1.765841572,1.028387952,1.028350596,1.027816567,1.029522139,1.027508085,1.029319753,1.028222914,1.029491908,1.028001808,0.571949359,0.557506193,0.558228352,0.607335115,0.599391374,0.613112381,0.617445331,0.595058424,0.617445331,16.80060195,18.34216384,18.75989915,17.07614776,19.52802237,18.52606958,16.62921856,19.62248581,19.2879752,2.99934407,3.302888558,3.323066696,3.469795185,5.226496412,4.02133477,4.153689886,4.287790569,5.29735508,2.657091679,3.053975798,2.977779955,3.463879487,4.970673764,3.954076249,4.330297632,4.324807131,5.319504035,7.028375168,7.807481155,7.744910906,8.943802169,11.62464502,10.00766603,9.858502491,10.7894892,12.12241909,1.722871687,1.842652704,1.870038831,2.220646144,2.627882855,2.439646435,2.240588851,2.656710381,2.837999739,0
0.225209851,0.509469686,1.007010943,0.417160704,0.332809499,0.800133335,0.455457143,0.913003045,0.574163585,0.734637342,1.636364076,1.726021656,0.730137417,0.89534185,0.834486679,0.904740827,0.986535118,0.860064441,573,321,330,508,527,349,500,325,394,0.611870082,0.516456567,0.418008432,0.640435253,0.618549914,0.522815116,0.576971211,0.505838223,0.600589307,0.60406612,0.404286121,0.33958308,0.515409084,0.469963546,0.411415108,0.390585532,0.324761479,0.383782092,1.718359413,1.723664658,1.686850995,1.758229956,1.745733439,1.737987463,1.775095004,1.752508077,1.767883148,1.029567074,1.029933286,1.029538667,1.030908928,1.030182064,1.029848199,1.030099477,1.030538613,1.030448725,0.574837992,0.581337417,0.561116985,0.623944755,0.634777129,0.586392525,0.629722021,0.592169791,0.624666913,23.48651514,20.49004326,20.42081131,21.89759328,23.40796567,21.36181704,21.40665057,20.64990095,22.02000479,6.577978466,5.503219587,4.430874662,6.917463716,6.446089035,5.755531442,5.564129409,5.366509697,5.651078312,5.544074995,4.422162738,3.844747755,5.772083124,5.641616055,4.683677103,5.508364601,4.647882981,5.647465995,15.54485653,13.22129394,10.62428642,16.5546606,16.02426866,13.40682256,15.01253537,12.94480029,15.69102668,4.099067836,3.785325531,2.877237347,4.515540169,4.416314812,3.442877705,3.891249761,3.397535234,4.025405212,0
0.648466176,1.189158294,0.772159125,0.224312875,0.527308633,0.245674137,0.015411086,-0.240649904,0.015001513,3.438601057,5.742822516,4.359927776,2.862149499,3.351236939,2.343569676,2.525938457,1.874491063,1.890473416,298,225,269,364,388,348,266,408,348,0.30840149,0.220330361,0.247897238,0.396066747,0.442026445,0.370551891,0.361292586,0.427010687,0.35806541,0.271647835,0.247379249,0.296858675,0.293226941,0.263943334,0.339121624,0.298083061,0.366845269,0.301618466,1.725826932,1.681598137,1.685807118,1.795219057,1.817348473,1.752659314,1.765294238,1.736885167,1.744438911,1.029866891,1.029757167,1.029150845,1.030660065,1.030795309,1.030811576,1.029804927,1.030776169,1.029261455,0.557506193,0.527175545,0.557506193,0.590725474,0.640554396,0.586392525,0.574837992,0.559672668,0.57556015,16.26901822,15.36687364,15.873858,17.01872981,16.73404075,16.60726157,16.89477923,18.51304069,17.06801744,3.172717395,2.490113897,2.709587523,3.950396828,4.323202172,3.492273047,3.606153949,3.868751767,3.531652361,3.24121779,2.488765621,2.7248403,3.853615324,4.459121368,3.600931687,3.698968949,4.015562793,3.647585376,8.563284691,6.564075164,7.10032115,10.2881578,11.861622,9.940707317,9.807746574,11.04523381,9.61727895,2.258216684,1.766728417,1.841853378,2.865704994,3.151168956,2.661646233,2.548248126,3.112418103,2.343648679,0
0.535113378,1.550107903,2.250864408,1.378334852,1.476941379,1.477651575,2.206167031,1.589180419,2.231172936,2.631363308,3.728590404,3.541975896,2.7771819,3.38789135,2.342908336,3.590126711,1.369273433,2.565519392,387,199,159,237,189,243,159,167,111,0.411251097,0.346655411,0.360682347,0.434417108,0.406245358,0.441591885,0.392625983,0.517637456,0.473561634,0.43644441,0.347873977,0.310485264,0.369309566,0.349565112,0.317697577,0.303235588,0.327143503,0.368861116,1.630400879,1.628013697,1.622927796,1.664253761,1.675044026,1.694338481,1.640828615,1.733413224,1.618166827,1.027438538,1.026751361,1.02699409,1.028285773,1.028609763,1.028584956,1.028702248,1.028772597,1.02799447,0.53367497,0.535841445,0.532230653,0.556784035,0.56328346,0.586392525,0.551728927,0.608779431,0.540174395,21.82222713,20.80485905,21.50472205,21.30497834,20.62755382,21.15235448,21.53005361,21.83720946,24.39672252,4.836899194,4.344695708,4.343841094,4.860315797,4.770980125,4.879122143,4.531017393,5.589620383,5.317440134,4.053473466,3.549230273,3.714724487,4.446979075,4.267860773,4.487393613,4.023821845,5.43297609,4.784478791,9.596324044,8.203872305,8.517434856,10.59436049,10.09054321,11.15176099,9.632736399,12.91443343,11.05296079,2.43394701,2.111814569,2.187645428,2.832316371,2.764800987,2.873741449,2.587403485,3.229258771,2.948791061,0
0.64883437,1.246320757,1.697876697,0.832368381,0.972031872,1.801774882,1.26215618,1.851206237,1.205108902,1.394322893,2.467737862,3.462281366,1.167307406,1.569412013,2.302243626,1.811318397,2.61459592,2.035027452,321,239,235,283,313,167,295,171,231,0.46922686,0.357068465,0.295818548,0.524636134,0.528327348,0.347182512,0.528937478,0.344461907,0.445924694,0.303515613,0.238011453,0.17997222,0.310522661,0.267156261,0.185484871,0.244488234,0.154965412,0.193450704,1.767968114,1.752115933,1.755137293,1.799249349,1.833181765,1.774321043,1.835616348,1.760225979,1.790538168,1.031631677,1.031052359,1.03087887,1.031625048,1.031283089,1.031346077,1.029676093,1.031199794,1.030498109,0.618167489,0.592891949,0.597224899,0.645609504,0.670885044,0.614556698,0.662941302,0.618167489,0.628999863,19.13247867,17.60159995,16.88194289,18.68102803,19.01526964,17.12236117,19.06214741,17.62769776,18.70501579,4.625392692,3.840256048,3.427229145,4.994573334,4.853611813,3.724683991,5.125478267,3.695722602,4.580811754,4.171786327,3.299245986,2.916635547,4.512622299,5.119343161,3.237750451,5.420307823,3.257519574,4.511282387,12.57100039,9.614178773,8.467632076,13.81879184,13.99962225,9.805332161,13.58076954,9.787066223,11.60436599,3.515766554,2.629149998,2.228555615,3.857374575,3.625765842,2.578413705,3.265133834,2.622115986,2.929424478,0
0.801613433,2.137611837,3.484717452,1.820231513,1.986270773,2.371926626,2.052093785,2.529250547,1.944740049,7.608710924,7.309074302,6.475515861,4.251560322,7.218746883,3.823898129,4.942326792,7.188041105,5.795999731,280,141,81,219,281,141,174,182,200,0.369763427,0.325052514,0.327106224,0.446218995,0.456388525,0.414921774,0.37075064,0.27118191,0.358335,0.363228358,0.38852427,0.374062538,0.48760384,0.417217788,0.457929312,0.417917722,0.28644267,0.343172619,1.584541179,1.539039915,1.546775394,1.608589175,1.632100053,1.547439305,1.554747583,1.487293951,1.551412736,1.025332473,1.025467667,1.025741519,1.025844787,1.025349921,1.027017588,1.025746413,1.026026611,1.027833235,0.491067631,0.476624466,0.484568207,0.507677272,0.521398279,0.490345473,0.480235257,0.45784835,0.488178998,22.31278416,21.62469127,21.51340407,23.69067448,22.98225645,24.06104951,22.67053886,21.22871659,22.31215315,4.555240407,4.035320185,4.216083045,5.773038513,6.078561103,4.825262585,4.83915025,3.21306021,4.256165659,3.601157145,2.954074889,2.92466096,4.080001136,4.211190399,3.682905263,3.392012016,2.383589679,3.22944666,8.240125089,7.386928006,7.744226602,10.05834158,10.48340808,9.930673257,8.742450786,6.771937246,8.771888165,2.007377192,1.829205126,1.882122882,2.371815303,2.581101323,2.426317637,2.126684603,1.566099253,2.229702425,0
