f1c1,f1c2,f1c3,f1c4,f1c5,f1c6,f1c7,f1c8,f1c9,f2c1,f2c2,f2c3,f2c4,f2c5,f2c6,f2c7,f2c8,f2c9,f3c1,f3c2,f3c3,f3c4,f3c5,f3c6,f3c7,f3c8,f3c9,f4c1,f4c2,f4c3,f4c4,f4c5,f4c6,f4c7,f4c8,f4c9,p1c1,p1c2,p1c3,p1c4,p1c5,p1c6,p1c7,p1c8,p1c9,p2c1,p2c2,p2c3,p2c4,p2c5,p2c6,p2c7,p2c8,p2c9,p3c1,p3c2,p3c3,p3c4,p3c5,p3c6,p3c7,p3c8,p3c9,p4c1,p4c2,p4c3,p4c4,p4c5,p4c6,p4c7,p4c8,p4c9,label
1.319238333,1.649932545,1.764590138,1.53409722,1.306506339,2.5149985,1.442239875,2.010884154,1.819086984,6.019771778,7.880917813,9.086046055,6.255531838,6.04823993,7.696927306,5.48039668,8.280900486,6.69308243,147,137,131,153,149,209,169,135,205,0.253733836,0.22749746,0.219995685,0.251718197,0.28649266,0.222850657,0.296570751,0.208522857,0.253299183,16.90071385,17.05153099,17.00335098,17.16921023,17.61102766,17.54317506,17.31363741,17.68254918,16.96334924,3.274277082,3.005224507,2.900589977,3.32204088,3.564633063,2.89330501,3.474876928,2.841786942,3.159449833,2.930429256,2.680290197,2.523395453,2.92314308,3.099033811,2.739408668,3.173853676,2.533516559,2.859804341,6.963826659,6.32657068,6.079566652,7.067435057,7.586586938,6.673703529,7.941843343,6.393910866,7.143419358,0
2.260318278,2.349515563,2.28510235,2.371036091,1.72347523,2.354274105,1.93888901,2.088485613,1.822621205,4.532199757,4.478944966,3.481020555,4.368157447,2.722743369,3.014241208,2.24406457,2.079188523,2.191308846,207,159,167,223,301,141,205,113,202,0.446285031,0.375545649,0.383127,0.448040263,0.665671861,0.447283398,0.559805066,0.496058983,0.596556647,19.11615189,18.68274686,19.21016234,18.64718037,20.51412663,19.51034198,20.26155113,21.23499311,20.01059501,5.225141456,4.370853698,4.467201933,5.118055281,8.876536541,4.439018477,5.672073369,4.866249874,5.632213231,4.31336355,3.470600925,3.340095435,4.355631647,6.54187812,4.111276407,5.115458969,4.291402531,5.716082168,11.08466445,9.268741786,9.545536786,11.34593528,16.47368529,11.42891875,14.53423363,12.59323768,15.57580999,0
0.881155361,0.549112168,-0.009987409,0.481873509,0.616842215,0.255338562,0.236800415,-0.273485042,0.047532341,5.899954179,4.684889759,5.614678245,4.715629054,4.481989313,3.100374165,5.776915416,3.217868525,5.484725446,431,377,281,443,501,357,365,393,323,0.407924939,0.44586795,0.36536939,0.568342186,0.630333142,0.509725673,0.490728201,0.459310402,0.430316672,17.99148235,20.58409225,20.87140758,19.21378261,19.65571374,19.14068319,18.77564851,19.75625269,19.2736921,4.28703369,4.36527307,3.476828246,6.331946579,6.992237054,4.752066877,4.392126436,4.062212603,3.607544539,4.135388337,4.169209444,3.366731129,6.205696026,6.22082393,5.215447767,4.743992516,4.516360131,4.061153952,10.06179892,10.97814075,9.329226476,13.88723271,15.482788,12.92973988,12.18270826,11.89891262,11.18870547,0
0.328329757,0.380961095,0.402018802,0.302958361,0.721227864,0.672094158,0.279889756,0.33811893,0.285034836,1.727734055,2.279153777,1.875376009,1.957639022,1.612989822,2.135125338,1.551550228,1.534939194,1.176919513,342,280,315,360,294,291,346,316,416,0.378536132,0.322733496,0.356786944,0.45433375,0.46471883,0.359547012,0.381980123,0.41605379,0.476524378,16.79736104,16.01993446,16.31124194,16.82491056,17.88608122,15.60113651,16.82633921,16.21582728,17.68225375,5.247389448,4.533308971,4.742040557,6.559706134,5.401883589,4.808158439,4.913527525,5.056682464,5.963718879,3.712504198,3.275649083,3.466960101,4.621551342,4.428396603,3.630853103,3.818312646,3.855603182,4.583378327,9.63905187,8.481400192,9.345719129,10.90296126,11.88101389,9.465511663,10.34705565,10.93648888,12.20653326,0
0.535113378,1.550107903,2.250864408,1.378334852,1.476941379,1.477651575,2.206167031,1.589180419,2.231172936,2.631363308,3.728590404,3.541975896,2.7771819,3.38789135,2.342908336,3.590126711,1.369273433,2.565519392,387,199,159,237,189,243,159,167,111,0.411251097,0.346655411,0.360682347,0.434417108,0.406245358,0.441591885,0.392625983,0.517637456,0.473561634,21.82222713,20.80485905,21.50472205,21.30497834,20.62755382,21.15235448,21.53005361,21.83720946,24.39672252,4.836899194,4.344695708,4.343841094,4.860315797,4.770980125,4.879122143,4.531017393,5.589620383,5.317440134,4.053473466,3.549230273,3.714724487,4.446979075,4.267860773,4.487393613,4.023821845,5.43297609,4.784478791,9.596324044,8.203872305,8.517434856,10.59436049,10.09054321,11.15176099,9.632736399,12.91443343,11.05296079,0
3.883324469,3.052440071,2.507216368,3.060367603,2.510696274,2.473807088,2.276684164,2.00860187,2.044951399,17.52466846,10.26096535,6.322822058,10.23586977,7.843119592,7.263538668,4.780062403,4.821718113,4.443354998,1671,1313,1061,1457,1491,1361,987,1225,995,1.733812714,1.6571201,1.589979267,1.695203175,1.662619876,1.598583165,1.64293203,1.546252387,1.500495774,14.38360586,15.33613517,16.1365748,14.78085669,15.17925297,15.27330798,15.71322414,15.44980035,15.65935295,6.051198613,5.487854335,5.058201299,5.825992435,5.535223491,5.186642315,5.436303948,4.959959637,4.715954256,9.102297825,8.173737001,7.54548566,8.660168566,8.211666349,7.68524025,8.024410197,7.266064931,6.897727216,50.91555808,45.6665357,41.67348975,48.20248802,45.73799979,42.25435009,44.58818883,39.23523041,37.37080751,0
0.64883437,1.246320757,1.697876697,0.832368381,0.972031872,1.801774882,1.26215618,1.851206237,1.205108902,1.394322893,2.467737862,3.462281366,1.167307406,1.569412013,2.302243626,1.811318397,2.61459592,2.035027452,321,239,235,283,313,167,295,171,231,0.46922686,0.357068465,0.295818548,0.524636134,0.528327348,0.347182512,0.528937478,0.344461907,0.445924694,19.13247867,17.60159995,16.88194289,18.68102803,19.01526964,17.12236117,19.06214741,17.62769776,18.70501579,4.625392692,3.840256048,3.427229145,4.994573334,4.853611813,3.724683991,5.125478267,3.695722602,4.580811754,4.171786327,3.299245986,2.916635547,4.512622299,5.119343161,3.237750451,5.420307823,3.257519574,4.511282387,12.57100039,9.614178773,8.467632076,13.81879184,13.99962225,9.805332161,13.58076954,9.787066223,11.60436599,0
-0.423362496,-0.376196698,0.058738101,-0.126618461,0.148355961,0.212446616,0.218931239,0.123748952,0.215745268,0.490629033,0.827797379,0.939402642,0.528213229,0.438209568,0.563134163,0.712654995,0.821839213,0.729250651,394,310,446,443,466,401,409,431,335,0.608437145,0.533216546,0.513310144,0.630222502,0.596091151,0.541442714,0.46564988,0.579632702,0.437078969,24.11659473,23.58763534,22.69585089,22.7923153,23.61672726,21.59901096,21.98471684,22.26172394,22.90337355,6.20444581,5.638694188,5.282752396,5.382002536,6.1641705,4.826246625,5.012717915,5.543540638,4.655101068,5.374256491,4.825181138,4.636729161,5.56150702,5.230484994,4.974585716,4.118947859,4.991568741,3.973958448,15.74803703,13.79793849,13.53560584,17.38574252,15.06594133,14.71486052,12.01974568,15.6057422,11.25573968,0
1.00369065,0.818144276,1.225233002,1.340084584,1.628513307,1.405953184,1.335616141,1.298893083,1.049816428,23.85926603,7.300013854,8.428281464,18.60762498,24.05935179,27.66331701,30.67554122,18.11712714,36.57470924,284,244,230,292,336,248,258,180,212,0.117861276,0.219712919,0.173943096,0.10520808,0.166133096,0.083056672,0.086051812,0.097845155,0.067847151,12.47400497,17.36301405,16.76889303,11.70406625,13.57870606,11.46784546,11.14509645,12.77974357,11.24069519,2.011547689,2.942005817,2.46558348,1.758851525,2.484464292,1.46742142,1.458531046,1.540418632,1.155403356,1.768515284,2.466023279,1.977581918,1.505283869,2.304880843,1.167177169,1.303539114,1.237442372,0.967951182,4.285116049,6.390283396,5.459371171,4.023043701,5.701768312,3.363561608,3.48721038,3.622128986,2.847913498,0
2.480298938,2.159353809,2.323685354,1.121080929,2.003411429,1.788438191,2.149193764,1.761871082,1.609206652,18.62308425,10.3098715,8.216350304,8.650170765,6.963433046,5.249330977,8.588486494,3.839330126,4.179160694,292,242,256,370,363,338,301,347,347,0.24241489,0.294462844,0.297114616,0.33878844,0.475227055,0.390509703,0.394417746,0.425959433,0.496105477,16.80060195,18.34216384,18.75989915,17.07614776,19.52802237,18.52606958,16.62921856,19.62248581,19.2879752,2.99934407,3.302888558,3.323066696,3.469795185,5.226496412,4.02133477,4.153689886,4.287790569,5.29735508,2.657091679,3.053975798,2.977779955,3.463879487,4.970673764,3.954076249,4.330297632,4.324807131,5.319504035,7.028375168,7.807481155,7.744910906,8.943802169,11.62464502,10.00766603,9.858502491,10.7894892,12.12241909,0
